,DTime,ElapsedTime,T1,T1_time,HeaterValues
341,1606162978.3999093,464.41612458229065,43.79,341.0,75.0
342,1606162979.7597075,465.77592277526855,43.79,342.0,75.0
343,1606162981.118651,467.1348662376404,44.11,343.0,75.0
344,1606162982.4780853,468.4943006038666,44.43,344.0,75.0
345,1606162983.8373988,469.85361409187317,44.76,345.0,75.0
346,1606162985.1868157,471.20303106307983,44.76,346.0,75.0
347,1606162986.546084,472.5622992515564,45.08,347.0,75.0
348,1606162987.9050798,473.9212951660156,45.08,348.0,75.0
349,1606162989.2645361,475.2807514667511,45.4,349.0,75.0
350,1606162990.6134253,476.62964057922363,45.72,350.0,75.0
351,1606162991.9625335,477.97874879837036,45.72,351.0,75.0
352,1606162993.3222332,479.3384485244751,46.05,352.0,75.0
353,1606162994.6710768,480.687292098999,46.37,353.0,75.0
354,1606162996.0190747,482.0352900028229,46.69,354.0,75.0
355,1606162997.3792632,483.39547848701477,47.01,355.0,75.0
356,1606162998.738619,484.75483441352844,47.01,356.0,75.0
357,1606163000.1186335,486.1348488330841,47.33,357.0,75.0
358,1606163001.4676108,487.4838261604309,47.33,358.0,75.0
359,1606163002.8166087,488.8328239917755,47.66,359.0,75.0
360,1606163004.1755211,490.19173645973206,47.98,360.0,75.0
361,1606163005.5245726,491.54078793525696,47.98,361.0,75.0
362,1606163006.8735352,492.88975048065186,48.3,362.0,75.0
363,1606163008.2220733,494.23828864097595,48.62,363.0,75.0
364,1606163009.5922637,495.60847902297974,48.62,364.0,75.0
365,1606163010.9412792,496.9574944972992,48.95,365.0,75.0
366,1606163012.3002977,498.31651306152344,48.95,366.0,75.0
367,1606163013.6698933,499.68610858917236,49.27,367.0,75.0
368,1606163015.0284448,501.04466009140015,49.59,368.0,75.0
369,1606163016.388638,502.4048533439636,49.59,369.0,75.0
370,1606163017.7483132,503.7645285129547,49.91,370.0,75.0
371,1606163019.1054425,505.12165784835815,50.24,371.0,75.0
372,1606163020.4756258,506.49184107780457,50.24,372.0,75.0
373,1606163021.8349001,507.8511154651642,50.56,373.0,75.0
374,1606163023.1848092,509.2010245323181,50.56,374.0,75.0
375,1606163024.544395,510.56061029434204,50.88,375.0,75.0
376,1606163025.8938637,511.91007900238037,50.88,376.0,75.0
377,1606163027.2544427,513.2706580162048,51.2,377.0,75.0
378,1606163028.6139784,514.6301937103271,51.2,378.0,75.0
379,1606163029.9637449,515.9799602031708,51.52,379.0,75.0
380,1606163031.3137472,517.3299624919891,51.85,380.0,75.0
381,1606163032.6629183,518.6791336536407,51.85,381.0,75.0
382,1606163034.01308,520.02929520607,52.17,382.0,75.0
383,1606163035.3731866,521.3894019126892,52.49,383.0,75.0
384,1606163036.7330163,522.7492315769196,52.49,384.0,75.0
385,1606163038.1026442,524.1188595294952,52.81,385.0,75.0
386,1606163039.4517703,525.4679856300354,52.81,386.0,75.0
387,1606163040.8127787,526.8289940357208,53.14,387.0,75.0
388,1606163042.1725557,528.1887710094452,53.14,388.0,75.0
389,1606163043.5327048,529.5489201545715,53.46,389.0,75.0
390,1606163044.8922508,530.9084661006927,53.78,390.0,75.0
391,1606163046.2524307,532.2686460018158,53.78,391.0,75.0
392,1606163047.6118062,533.628021478653,53.78,392.0,75.0
393,1606163048.9714892,534.9877045154572,54.1,393.0,75.0
394,1606163050.3315146,536.3477299213409,54.43,394.0,75.0
395,1606163051.6806233,537.6968386173248,54.43,395.0,75.0
396,1606163053.040503,539.0567183494568,54.43,396.0,75.0
397,1606163054.4006867,540.4169020652771,54.75,397.0,75.0
398,1606163055.7609625,541.777177810669,55.07,398.0,75.0
399,1606163057.1404645,543.1566798686981,55.07,399.0,75.0
400,1606163058.5013478,544.5175631046295,55.39,400.0,75.0
401,1606163059.8509262,545.8671414852142,55.39,401.0,75.0
402,1606163061.2109632,547.2271785736084,55.71,402.0,75.0
403,1606163062.5700984,548.5863137245178,55.71,403.0,75.0
404,1606163063.9205291,549.9367444515228,56.04,404.0,75.0
405,1606163065.2805808,551.2967960834503,56.04,405.0,75.0
406,1606163066.6400158,552.6562311649323,56.36,406.0,75.0
407,1606163068.0104194,554.0266346931458,56.36,407.0,75.0
408,1606163069.3705626,555.3867778778076,56.68,408.0,75.0
409,1606163070.7201393,556.7363545894623,56.68,409.0,75.0
410,1606163072.06982,558.0860352516174,56.68,410.0,75.0
411,1606163073.4296587,559.4458739757538,57.0,411.0,75.0
412,1606163074.789328,560.805543422699,57.0,412.0,75.0
413,1606163076.1488762,562.1650915145874,57.33,413.0,75.0
414,1606163077.498071,563.5142862796783,57.33,414.0,75.0
415,1606163078.8484838,564.8646991252899,57.65,415.0,75.0
416,1606163080.218503,566.2347183227539,57.65,416.0,75.0
417,1606163081.588409,567.6046242713928,57.97,417.0,75.0
418,1606163082.9392157,568.9554309844971,57.97,418.0,75.0
419,1606163084.2993338,570.3155491352081,58.29,419.0,75.0
420,1606163085.6591566,571.6753718852997,58.29,420.0,75.0
421,1606163087.018486,573.0347013473511,58.29,421.0,75.0
422,1606163088.3787382,574.3949534893036,58.62,422.0,75.0
423,1606163089.738525,575.7547402381897,58.62,423.0,75.0
424,1606163091.0983944,577.1146097183228,58.62,424.0,75.0
425,1606163092.4472337,578.4634490013123,58.94,425.0,75.0
426,1606163093.8083029,579.8245182037354,58.94,426.0,75.0
427,1606163095.1681588,581.1843740940094,58.94,427.0,75.0
428,1606163096.5282624,582.5444777011871,58.94,428.0,75.0
429,1606163097.8777924,583.8940076828003,59.26,429.0,75.0
430,1606163099.237926,585.254141330719,59.26,430.0,75.0
431,1606163100.5973947,586.6136100292206,59.58,431.0,75.0
432,1606163101.9577756,587.9739909172058,59.58,432.0,75.0
433,1606163103.3171966,589.3334119319916,59.58,433.0,75.0
434,1606163104.677286,590.6935012340546,59.9,434.0,75.0
435,1606163106.0376651,592.0538804531097,59.9,435.0,75.0
436,1606163107.3975074,593.4137227535248,59.9,436.0,75.0
437,1606163108.7576094,594.7738246917725,60.23,437.0,75.0
438,1606163110.116254,596.1324694156647,60.55,438.0,75.0
439,1606163111.4665384,597.4827537536621,60.55,439.0,75.0
440,1606163112.8271585,598.8433737754822,60.87,440.0,75.0
441,1606163114.1765394,600.1927547454834,60.87,441.0,75.0
442,1606163115.5359995,601.5522148609161,60.87,442.0,75.0
443,1606163116.8966172,602.9128324985504,60.87,443.0,75.0
444,1606163118.2566605,604.2728757858276,60.87,444.0,75.0
445,1606163119.6160927,605.6323080062866,61.19,445.0,75.0
446,1606163120.9763334,606.9925487041473,61.19,446.0,75.0
